date,presentprice,open,highprice,lowprice,change%
20160511,"1,165.55","1,169.59","1,173.56","1,161.19",-0.46
20160510,"1,170.94","1,174.29","1,176.95","1,168.69",-0.4
20160509,"1,175.60","1,168.70","1,179.46","1,162.00",0.54
20160506,"1,169.30","1,166.59","1,176.14","1,164.99",0.12
20160505,"1,167.89","1,165.79","1,172.00","1,162.15",0.07
20160504,"1,167.10","1,150.49","1,168.11","1,148.80",1.32
20160503,"1,151.89","1,135.79","1,152.63","1,132.37",1.3
20160502,"1,137.10","1,144.10","1,146.90","1,135.39",-0.68
20160429,"1,144.83","1,136.29","1,149.07","1,132.90",0.64
20160428,"1,137.60","1,148.01","1,150.51","1,134.89",-0.99
20160427,"1,149.01","1,146.90","1,154.93","1,141.59",0.1
20160426,"1,147.90","1,150.21","1,152.80","1,145.09",-0.29
20160425,"1,151.21","1,148.40","1,152.90","1,144.74",0.11
20160422,"1,149.99","1,140.09","1,151.30","1,136.90",0.75
20160421,"1,141.39","1,132.39","1,142.82","1,130.49",0.67
20160420,"1,133.74","1,127.69","1,137.76","1,126.09",0.42
20160419,"1,128.99","1,143.45","1,146.70","1,123.49",-1.34
20160418,"1,144.28","1,145.99","1,153.80","1,140.89",-0.24
20160415,"1,146.99","1,152.39","1,156.40","1,143.29",-0.59
20160414,"1,153.74","1,144.89","1,159.95","1,144.08",0.65
20160413,"1,146.24","1,142.89","1,150.42","1,140.59",0.21
20160412,"1,143.89","1,141.29","1,148.95","1,140.29",0.11
20160411,"1,142.64","1,150.20","1,155.45","1,140.09",-0.78
20160408,"1,151.64","1,159.49","1,164.06","1,146.09",-0.79
20160407,"1,160.80","1,154.84","1,162.01","1,149.55",0.43
20160406,"1,155.84","1,159.89","1,163.69","1,152.09",-0.43
20160405,"1,160.81","1,151.16","1,162.88","1,149.29",0.75
20160404,"1,152.16","1,146.90","1,153.30","1,144.57",0.37
20160401,"1,147.89","1,143.97","1,155.89","1,141.09",0.26
20160331,"1,144.97","1,142.92","1,147.50","1,133.69",0.1
20160330,"1,143.85","1,154.39","1,158.88","1,138.89",-1.03
20160329,"1,155.74","1,164.69","1,168.09","1,153.90",-0.88
20160328,"1,165.99","1,168.60","1,174.20","1,163.29",-0.26
20160325,"1,169.05","1,167.19","1,174.56","1,164.06",0.04
20160324,"1,168.55","1,167.49","1,171.26","1,163.05",-0.03
20160323,"1,168.85","1,156.27","1,169.51","1,154.47",1
20160322,"1,157.27","1,159.99","1,165.90","1,151.84",-0.35
20160321,"1,161.30","1,163.19","1,170.30","1,156.39",-0.26
20160318,"1,164.30","1,153.59","1,164.70","1,152.79",0.81
20160317,"1,154.94","1,177.59","1,180.26","1,150.79",-2.04
20160316,"1,178.94","1,193.59","1,197.14","1,175.60",-1.34
20160315,"1,194.94","1,187.69","1,197.84","1,184.90",0.5
