AGCODE	WEIGHT	PRICE	YEAR				AGCODE		AGCODE
상추	"8,107,290"	"6,651,713"	2015년11월						
딸기	0	58	2015년11월						
상추	"8,174,592"	"6,780,817"	2014년12월						
딸기	0	14	2014년12월						
상추	"8,503,864"	"6,996,229"	2015년12월						
딸기	0	58	2015년12월						
상추	"1,649,105"	"1,272,271"	2016년01월						
딸기	0	0	2016년01월						
상추	"928,374"	"715,138"	2017년01월						
딸기	0	0	2017년01월						
상추	"2,829,690.50"	"2,118,214"	2016년02월						
딸기	0	0	2016년02월						
상추	"1,331,732"	"970,750"	2017년02월						
딸기	0	0	2017년02월						
상추	"3,331,321.50"	"2,448,612"	2016년03월						
딸기	0	0	2016년03월						
상추	"1,554,192"	"1,102,280"	2017년03월						
딸기	0	0	2017년03월						
상추	"3,354,521.50"	"2,463,012"	2016년04월						
딸기	0	0	2016년04월						
상추	"1,571,904"	"1,111,858"	2017년04월						
딸기	0	0	2017년04월						
상추	"3,354,521.50"	"2,463,012"	2016년05월						
딸기	0	0	2016년05월						
상추	"1,602,614"	"1,132,766"	2017년05월						
딸기	0	0	2017년05월						
상추	"3,367,121.50"	"2,471,033"	2016년06월						
딸기	0	0	2016년06월						
상추	"1,647,594"	"1,179,115"	2017년06월						
딸기	0	0	2017년06월						
상추	"5,428,454.50"	"4,034,965"	2016년07월						
딸기	0	0	2016년07월						
상추	"4,100,811"	"2,993,084"	2017년07월						
딸기	0	0	2017년07월						
상추	"8,973,048.50"	"6,772,839"	2016년08월						
딸기	0	0	2016년08월						
상추	0	0	2017년08월						
딸기	0	0	2017년08월						
상추	"11,044,748"	"8,680,383"	2016년09월						
딸기	0	0	2016년09월						
상추	0	0	2017년09월						
딸기	0	0	2017년09월						
상추	"11,441,296"	"9,048,464"	2016년10월						
딸기	0	0	2016년10월						
상추	0	0	2017년10월						
딸기	0	0	2017년10월						
상추	"12,612,900.31"	"10,696,925"	2016년11월						
딸기	0	0	2016년11월						
상추	0	0	2017년11월						
딸기	0	0	2017년11월						
상추	"13,353,309.31"	"11,419,500"	2016년12월						
딸기	2.85	301	2016년12월						
상추	0	0	2017년12월						
딸기	0	0	2017년12월						
호박	"1,500"	"2,068"	2014년01월						
마늘	"2,532,704"	"1,693,705"	2014년01월						
호박	"49,440"	"70,740"	2015년01월						
마늘	"1,920,855"	"1,494,287"	2015년01월						
호박	"20,500"	"44,508"	2014년02월						
마늘	"5,251,954"	"3,492,804"	2014년02월						
호박	"98,800"	"153,321"	2015년02월						
마늘	"4,234,626"	"3,264,558"	2015년02월						
호박	"80,101"	"159,393"	2014년03월						
마늘	"10,042,721"	"6,641,398"	2014년03월						
호박	"146,082"	"227,286"	2015년03월						
마늘	"8,357,127"	"6,442,859"	2015년03월						
호박	"114,521"	"228,872"	2014년04월						
마늘	"12,917,462"	"8,456,428"	2014년04월						
호박	"178,874"	"281,440"	2015년04월						
마늘	"11,876,720"	"9,370,222"	2015년04월						
호박	"130,821"	"257,062"	2014년05월						
